Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C2",0402,4,12p,
"C10, C13, C22",0402,3,N.C.,
C11,0402,1,100p,
"C12, C25, C26, C5, C7, C8",0402,6,100n,
"C14, C15, C23, C24",0603,4,1.0u,
C16,0402,1,47n,
"C19, C20, C21, C6",0603,4,4.7u,
C3,0402,1,0.8p,
C4,0402,1,0.5p,
C9,0402,1,820p,
"CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8",SW_KS33_HS_KS-2P02B01-02_HS_1u,8,KS33_SW_HS,
CP1,0201,1,0.1u,
CP2,0201,1,1u,
CP3,0201,1,4.7u,
D1,0603,1,D_TVS,
DP1,0603,1,LED,
J1-1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,LIPO,
J2-1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J3,USBC-CONN_8p94X6p5X3p16_12L_GCC,1,USB4215-03-A,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Jumper_2_Open,
L1,0402,1,4.7nH,
"L2, L4",0603,2,10uH,
L3,0402,1,15nH,
"RCC1, RCC2",0402,2,5.1k,
"RD1, RD2, RS1, RS2",0402,4,4.7k,
RDIV1,0603,1,150k,
RDIV2,0603,1,300k,
RP1,0603,1,2.2k,
RP2,0603,1,330,
RP3,0603,1,1.5k,
RP4,0603,1,4.12k,
RP5,0603,1,1.18k,
RP6,0603,1,1.13k,
"RUSB1, RUSB2",0402,2,22,
"SW1, SW2",SW_SPST_PTS647_Sx38,2,SW_Push,
"U1, U9",CDS85301-DQK0006B,2,CSD85301Q2,
"U10, U4",DBV0006A_L,2,TPS22916CNYFPR,
U11,SOT-323_SC-70,1,TPD2EUSB30ADRTR,
"U13, U3",AS5600L-ASOM_AMS,2,AS5600L-ASOM,
"U14, U8",DRV5032-DBZ0003A-IPC_A,2,DRV5032FCDBZR,
"U15, U16",OLED 128x64,2,~,
U17,2450AT07A0100T_JOT+Keepout,1,2450AT07A0100T,
U2,NORDIC_NRF52840-QIAA-R7,1,NRF52840-QIAA-R7,
U6,BQ29700-DSE0006A,1,BQ29700DSER,
U7,BQ24074-QFN50P300X300X100-17N,1,BQ24074RGTR,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,
